PROTEIN,TYPE,GENE
K11891,SENA,AU38_05190
K11891,SENO,AU37_05180
K11891,SENV,AU39_05180
K11891,SENQ,AU40_05815
K11891,SEEC,CFSAN002050_07965
K11891,SENE,IA1_01510
K11891,SENC,SEET0819_08355
K11891,SES,SARI_02612 SARI_02720
K11891,SBG,SBG_1234
K11891,SBZ,A464_1425
K11891,SBV,N643_05885 N643_13420
K11891,YPE,YPO0515 YPO1482 YPO2724 YPO3603
K11891,YPK,y1553 y2688 y3658
K11891,YPA,YPA_0776 YPA_2121 YPA_3406 YPA_3580
K11891,YPN,YPN_0390 YPN_2223 YPN_2497 YPN_3569
K11891,YPM,YP_1371(icmF1) YP_2442(icmF2) YP_3664(icmF3) YP_3947(icmF4)
K11891,YPP,YPDSF_0209 YPDSF_1494 YPDSF_3119
K11891,YPG,YpAngola_A1937(icmF) YpAngola_A2989
K11891,YPZ,YPZ3_0500 YPZ3_1349 YPZ3_2578 YPZ3_3094
K11891,YPT,A1122_02500 A1122_07415 A1122_12430 A1122_18510
K11891,YPD,YPD4_0453 YPD4_1315 YPD4_2564 YPD4_3082
K11891,YPX,YPD8_0453 YPD8_1304 YPD8_2559 YPD8_3243 YPD8_3244
K11891,YPH,YPC_1469 YPC_1470 YPC_2673 YPC_4028 YPC_4418
K11891,YPW,CH59_1345 CH59_2356 CH59_357 CH59_3609
K11891,YPJ,CH55_1057(impL) CH55_1058 CH55_2258 CH55_2600 CH55_4150
K11891,YPV,BZ15_2072 BZ15_3055 BZ15_4045 BZ15_803
K11891,YPL,CH46_1396 CH46_2379 CH46_3645 CH46_398
K11891,YPS,YPTB0656 YPTB1498 YPTB2660 YPTB3625
K11891,YPO,BZ17_1019 BZ17_1901 BZ17_2973 BZ17_3978
K11891,YPI,YpsIP31758_0326 YpsIP31758_1373 YpsIP31758_2495 YpsIP31758_3421
K11891,YPY,YPK_0399 YPK_1485 YPK_2591 YPK_3550
K11891,YPB,YPTS_0679 YPTS_1606 YPTS_2757 YPTS_3809
K11891,YPQ,DJ40_1713 DJ40_2781 DJ40_3229 DJ40_3260 DJ40_3883
K11891,YPU,BZ21_1957 BZ21_2947 BZ21_4038 BZ21_834
K11891,YPR,BZ20_1439 BZ20_2482 BZ20_3549 BZ20_468
K11891,YPC,BZ23_1112 BZ23_132 BZ23_2241 BZ23_3235
K11891,YPF,BZ19_10 BZ19_2024 BZ19_2593 BZ19_3096 BZ19_933
K11891,YEN,YE2685
K11891,YEP,YE105_C1602
K11891,YEY,Y11_15641
K11891,YEL,LC20_00917
K11891,YEW,CH47_2033
K11891,YET,CH48_3199
K11891,YEF,FORC2_2662
K11891,YEE,YE5303_31131
K11891,YSI,BF17_05810 BF17_11565 BF17_22785
K11891,YAL,AT01_1868 AT01_4082
K11891,YFR,AW19_2452 AW19_2510
K11891,YIN,CH53_2554 CH53_3422
K11891,YKR,CH54_3277 CH54_3334
K11891,YRO,CH64_1889 CH64_3138
K11891,YAK,ACZ76_05425
K11891,SSN,SSON_0235 SSON_0236 SSON_0239
K11891,ECA,ECA3432
K11891,PATR,EV46_16995
K11891,PATO,GZ59_34470
K11891,PCT,PC1_3242
K11891,PCC,PCC21_032290
K11891,PCV,BCS7_04365 BCS7_14545 BCS7_16335
K11891,PWA,Pecwa_1083 Pecwa_2464
K11891,PEC,W5S_0975 W5S_2437
K11891,ETA,ETA_06140 ETA_18640
K11891,EPY,EpC_06180 EpC_19530
K11891,EPR,EPYR_00649 EPYR_02110 EPYR_02111
K11891,EAM,EAMY_1622 EAMY_3024 EAMY_3216
K11891,EAY,EAM_0379 EAM_0575 EAM_1602
K11891,EBI,EbC_04170 EbC_05800 EbC_18400 EbC_39390
K11891,ERJ,EJP617_04810 EJP617_27660
K11891,PLU,plu0336(pmt2) plu0359(pmt1) plu2288 plu3231 plu3238 plu4214
K11891,PAY,PAU_00275 PAU_02269 PAU_02312 PAU_03041 PAU_03788 PAU_03820
K11891,PTT,VY86_03395 VY86_09870 VY86_10065 VY86_11350 VY86_11810 VY86_19710 VY86_22285 VY86_22330
K11891,ENT,Ent638_2911
K11891,ENC,ECL_01536(impL) ECL_01813(impL)
K11891,ENO,ECENHK_13230 ECENHK_15810
K11891,ECLO,ENC_07210
K11891,EEC,EcWSU1_02694
K11891,ENL,A3UG_13480
K11891,ECLA,ECNIH3_09250 ECNIH3_11400 ECNIH3_12585
K11891,ECLC,ECR091_09225 ECR091_11340 ECR091_12520
K11891,ECLG,EC036_26070
K11891,ECLE,ECNIH2_13070
K11891,ECLN,ECNIH4_09755
K11891,ECLI,ECNIH5_09240 ECNIH5_10425 ECNIH5_12530
K11891,ECLX,LI66_11890 LI66_12890
K11891,ECLY,LI62_13730 LI62_14575
K11891,ECLZ,LI64_12625
K11891,EAS,Entas_1938 Entas_3848 Entas_4615
K11891,EAU,DI57_03400 DI57_05990
K11891,EAE,EAE_19425 EAE_21920
K11891,EAR,CCG29550 CCG30001
K11891,ENR,H650_00770 H650_11200
K11891,ESA,ESA_00142 ESA_02041 ESA_03945
K11891,CSK,ES15_2188(vasK) ES15_2811(icmF) ES15_2812 ES15_2813(imcF) ES15_3849(impL)
K11891,CSZ,CSSP291_18235
K11891,CSI,P262_00048 P262_04093
K11891,CSJ,CSK29544_00878 CSK29544_1p0046
K11891,CCON,AFK62_00395 AFK62_14090
K11891,CTU,CTU_00680 CTU_12210 CTU_19530
K11891,KPN,KPN_01342 KPN_02251 KPN_03175
K11891,KPU,KP1_2413 KP1_3370
K11891,KPM,KPHS_23140 KPHS_32500
K11891,KPP,A79E_1983 A79E_2824
K11891,KPK,A593_00830 A593_21540
K11891,KPH,KPNIH24_12265 KPNIH24_16635
K11891,KPZ,KPNIH27_11180
K11891,KPV,KPNIH29_11460 KPNIH29_16230
K11891,KPW,KPNIH30_12055 KPNIH30_16515
K11891,KPY,KPNIH31_11100 KPNIH31_15700
K11891,KPG,KPNIH32_11895 KPNIH32_16410
K11891,KPC,KPNIH10_11600 KPNIH10_15990
K11891,KPQ,KPR0928_11610 KPR0928_15965
K11891,KPT,VK055_0198(icmF2) VK055_1093
K11891,KPE,KPK_0939 KPK_2052
K11891,KPO,KPN2242_09825 KPN2242_14265
K11891,KPR,KPR_3172
K11891,KPJ,N559_2915
K11891,KPI,D364_06940 D364_11515
K11891,KPA,KPNJ1_02192 KPNJ1_03085
K11891,KPS,KPNJ2_02151 KPNJ2_03083
K11891,KPX,PMK1_00658 PMK1_03736 PMK1_04618
K11891,KPB,FH42_02980 FH42_07375
K11891,KPNE,KU54_010105 KU54_014605
K11891,KPNU,LI86_10060 LI86_14540
K11891,KVA,Kvar_2958
K11891,KVD,KR75_19370
K11891,KVQ,SP68_00410 SP68_04895
K11891,KOX,KOX_12015 KOX_18845 KOX_18850 KOX_22425 KOX_25975
K11891,KOE,A225_2638 A225_3362 A225_4098
K11891,KOY,J415_15155 J415_18785 J415_18790
K11891,KOK,KONIH1_12935 KONIH1_16490
K11891,KOM,HR38_17195 HR38_20740 HR38_24115
K11891,KMI,VW41_06685
K11891,CFD,CFNIH1_08865
K11891,CAMA,F384_16455
K11891,SPE,Spro_1798 Spro_3000
K11891,SMAF,D781_1691 D781_2774
K11891,SMW,SMWW4_v1c30110(impL) SMWW4_v1c31450
K11891,SMAR,SM39_2474
K11891,SMAC,SMDB11_2255
K11891,SERF,L085_12920 L085_13795
K11891,SERS,SERRSCBI_14505 SERRSCBI_15155
K11891,SFW,WN53_18600
K11891,SFO,Z042_07935 Z042_15490 Z042_16090
K11891,PMR,PMI0736
K11891,PMIB,BB2000_0808(tssN)
K11891,EIC,NT01EI_2751
K11891,ETR,ETAE_2443(evpO)
K11891,ETD,ETAF_2213(evpO)
K11891,ETE,ETEE_0475(evpO) ETEE_3958(lmpL) ETEE_4096(lmpL)
K11891,ETC,ETAC_09370 ETAC_11570
K11891,EDW,QY76_08130
K11891,EDL,AAZ33_10340 AAZ33_12750
K11891,DDC,Dd586_1303
K11891,DDD,Dda3937_00804
K11891,DZE,Dd1591_2794
K11891,DZC,W909_06635
K11891,XBO,XBJ1_0276 XBJ1_2105
K11891,XBV,XBW1_0209 XBW1_0224
K11891,XNE,XNC1_2523 XNC1_4539
K11891,XNM,XNC2_2424 XNC2_4386
K11891,XDO,XDD1_1893 XDD1_2039 XDD1_3705 XDD1_3726 XDD1_3752
K11891,XPO,XPG1_0238 XPG1_1837
K11891,PAM,PANA_1655 PANA_2369 PANA_4138
K11891,PLF,PANA5342_1725(icmF1) PANA5342_2559(icmF3)
K11891,PAJ,PAJ_1006 PAJ_1670 PAJ_p0148 PAJ_p0149
K11891,PAQ,PAGR_g1659 PAGR_g2452
K11891,PVA,Pvag_1025 Pvag_1088
K11891,PAO,Pat9b_2332 Pat9b_2521 Pat9b_3459
K11891,KLN,LH22_10050 LH22_11040
K11891,PANT,PSNIH1_03510 PSNIH1_14855
K11891,PANP,PSNIH2_09125 PSNIH2_15070
K11891,RAH,Rahaq_4578 Rahaq_4930
K11891,RAQ,Rahaq2_0572 Rahaq2_4584 Rahaq2_4769 Rahaq2_4876
K11891,RAA,Q7S_23411 Q7S_25186
K11891,PSI,S70_09535 S70_09540
K11891,PSX,DR96_1274
K11891,EBT,EBL_c11800
K11891,RON,TE10_17775
K11891,CNT,JT31_02155
K11891,CEM,LH23_10665 LH23_16000
K11891,CEN,LH86_15085
K11891,CED,LH89_05160
K11891,PGE,LG71_05645 LG71_07905
K11891,HAV,AT03_05050 AT03_08785
K11891,KSA,C813_01435 C813_19260
K11891,KIN,AB182_15210 AB182_20585
K11891,PFQ,QQ39_05560
K11891,EBF,D782_3646
K11891,PSTS,E05_14320 E05_14330 E05_34780 E05_34790 E05_34800 E05_34810
K11891,AAP,NT05HA_1862
K11891,XCV,XCV2138 XCV4209
K11891,XAC,XAC4119
K11891,XCI,XCAW_00180
K11891,XCT,J151_04298
K11891,XCU,J159_04247
K11891,XCN,J169_04295
K11891,XCW,J162_04253
K11891,XCR,J163_04247
K11891,XCM,J164_04248
K11891,XCF,J172_04288
K11891,XCJ,J158_04251
K11891,XFU,XFF4834R_chr39880
K11891,XAX,XACM_2116 XACM_3986
K11891,XAO,XAC29_20745
K11891,XOO,XOO3038 XOO3517
K11891,XOM,XOO_2891 XOO_3319
K11891,XOP,PXO_00250(sciS) PXO_04696(imcF)
K11891,XOY,AZ54_06175 AZ54_08785
K11891,XOR,XOC_1309 XOC_2528
K11891,XOZ,BE73_12225 BE73_16850
K11891,XTN,FD63_06515 FD63_13955
K11891,FAU,Fraau_1798
K11891,DJI,CH75_15775
K11891,DJA,HY57_07160 HY57_13660
K11891,VCH,VCA0120
K11891,VCF,IR04_00535
K11891,VCE,Vch1786_II0914
K11891,VCJ,VCD_000124
K11891,VCO,VC0395_0016
K11891,VCM,VCM66_A0118
K11891,VCI,O3Y_14038
K11891,VCL,VCLMA_B0108
K11891,VCQ,EN18_04325
K11891,VCS,MS6_A0103
K11891,VCX,VAA049_1788
K11891,VCZ,VAB027_909
K11891,VVU,VV2_0441
K11891,VVY,VVA0991
K11891,VVM,VVMO6_03911
K11891,VVL,VV93_v1c39340(impL)
K11891,VPA,VP1408 VPA1039
K11891,VPB,VPBB_1323 VPBB_A0945
K11891,VPK,M636_04590 M636_14800
K11891,VPF,M634_23115
K11891,VPH,VPUCM_20946
K11891,VHA,VIBHAR_05857
K11891,VCA,M892_22435
K11891,VAG,N646_3992 N646_4410
K11891,VSP,VS_1318 VS_II0991
K11891,VEX,VEA_000016 VEA_000435
K11891,VFU,vfu_B00780 vfu_B01189
K11891,VNI,VIBNI_A1431 VIBNI_B0350
K11891,VAN,VAA_02847 VAA_03022
K11891,LAG,N175_07420 N175_17405
K11891,VAU,VANGNB10_cI1474c(clpV_(vasK?)) VANGNB10_cII0083(vtsK)
K11891,VCY,IX92_06550 IX92_19620
K11891,VCT,JV59_19680 JV59_31975
K11891,VTU,IX91_04990 IX91_07100 IX91_23835
K11891,VFI,VF_0993(icmF)
K11891,VFM,VFMJ11_1075(icmF_1) VFMJ11_A0817(icmF_2)
K11891,AWD,AWOD_II_0124(vasK) AWOD_II_1010(vtsI) AWOD_I_0983(vasK)
K11891,PPR,PBPRA0662
K11891,PAE,PA0077(icmF1) PA1669 PA2361
K11891,PAEV,N297_1715 N297_2435 N297_83
K11891,PAEI,N296_1715 N296_2435 N296_83
K11891,PAU,PA14_00910 PA14_34130 PA14_42900
K11891,PAP,PSPA7_0148 PSPA7_2901 PSPA7_3603
K11891,PAG,PLES_00781 PLES_29421 PLES_36581
K11891,PAF,PAM18_0079(icmF1) PAM18_2680 PAM18_3378
K11891,PNC,NCGM2_0081 NCGM2_2567 NCGM2_3371
K11891,PAEB,NCGM1900_0074 NCGM1900_4170 NCGM1900_4898
K11891,PDK,PADK2_00405 PADK2_13465 PADK2_17360
K11891,PSG,G655_00395 G655_13245 G655_16840
K11891,PRP,M062_00400 M062_08880 M062_12310
K11891,PAER,PA1R_gp0161 PA1R_gp3591 PA1R_gp5249
K11891,PAEM,U769_00410 U769_13430 U769_17385 U769_22660
K11891,PAEL,T223_00400 T223_15045 T223_18720
K11891,PAES,SCV20265_0078 SCV20265_2958 SCV20265_3742
K11891,PAEU,BN889_00122(icmF1) BN889_01788 BN889_02585(icmF3)
K11891,PAEG,AI22_03500 AI22_16320 AI22_20040
K11891,PAEC,M802_1712 M802_2432 M802_83
K11891,PAEO,M801_1714 M801_83
K11891,PPU,PP_2627 PP_3090 PP_3091 PP_4071
K11891,PPF,Pput_2130 Pput_2631 Pput_2633
K11891,PPG,PputGB1_2773 PputGB1_2775 PputGB1_3221
K11891,PPW,PputW619_2499 PputW619_2501 PputW619_3247
K11891,PPT,PPS_2845 PPS_2847
K11891,PPB,PPUBIRD1_3063
K11891,PPI,YSA_00322 YSA_10450 YSA_10455
K11891,PPX,T1E_0057 T1E_0408 T1E_2448(ompA) T1E_2450
K11891,PPUH,B479_14135 B479_14145 B479_15905 B479_17350
K11891,PPUT,L483_10535
K11891,PPUN,PP4_24440 PP4_24460 PP4_32420
K11891,PPUD,DW66_3102 DW66_3104 DW66_3478 DW66_3938
K11891,PFV,Psefu_0258
K11891,PMON,X969_13615 X969_13625
K11891,PMOT,X970_13260 X970_13270
K11891,PMOS,O165_025355
K11891,PPJ,RK21_01112 RK21_01816 RK21_01818
K11891,PST,PSPTO_2554 PSPTO_5418
K11891,PSB,Psyr_4962 Psyr_4964
K11891,PSYR,N018_10950 N018_25065 N018_25075
K11891,PSP,PSPPH_0123 PSPPH_0125
K11891,PCI,PCH70_21200 PCH70_24110 PCH70_25650
K11891,PFL,PFL_6081(tssM)
K11891,PPRC,PFLCHA0_c60400
K11891,PPRO,PPC_6034(tssM)
K11891,PFO,Pfl01_3402 Pfl01_5577
K11891,PFS,PFLU_3544 PFLU_6013
K11891,PFE,PSF113_2421(icmF3) PSF113_5792(icmF1) PSF113_5817(icmF2)
K11891,PFC,PflA506_2419(tssM2) PflA506_5295(tssM1)
K11891,PFN,HZ99_04990
K11891,PFW,PF1751_v1c29740(tssM) PF1751_v1c54260(tssM)
K11891,PFB,VO64_0653 VO64_2906 VO64_5391 VO64_5393
K11891,PFF,PFLUOLIPICF708865 PFLUOLIPICF721320
K11891,PPZ,H045_06840 H045_20370
K11891,PMAN,OU5_3581
K11891,PTV,AA957_15065 AA957_27395
K11891,PEN,PSEEN0535
K11891,PMY,Pmen_0104 Pmen_2316
K11891,PMK,MDS_0014
K11891,PSR,PSTAA_0106
K11891,PSC,A458_20905
K11891,PSJ,PSJM300_03990
K11891,PSH,Psest_4246
K11891,PSTU,UIB01_21625
K11891,PSTT,CH92_03040
K11891,PBM,CL52_19970
K11891,PBA,PSEBR_a3312 PSEBR_a5552
K11891,PBC,CD58_12565 CD58_29035
K11891,PPUU,PputUW4_03077(tssM)
K11891,PDR,H681_03825 H681_14860
K11891,PRE,PCA10_01710
K11891,PSV,PVLB_09930
K11891,PSK,U771_18875 U771_31085
K11891,PKC,PKB_2526 PKB_2968
K11891,PCH,EY04_18220 EY04_30195
K11891,PCZ,PCL1606_01220
K11891,PCP,JM49_00900 JM49_12875
K11891,PSW,LK03_04720 LK03_15825
K11891,PPV,NJ69_05100 NJ69_20410
K11891,PSES,PSCI_1912 PSCI_4591 PSCI_5035
K11891,PSEM,TO66_30960
K11891,PSEC,CCOS191_2051 CCOS191_5041
K11891,AVN,Avin_26710 Avin_50760
K11891,AVL,AvCA_26710 AvCA_50760
K11891,AVD,AvCA6_26710
K11891,ACB,A1S_1302
K11891,ABM,ABSDF2244
K11891,ABY,ABAYE2408
K11891,ABC,ACICU_01303
K11891,ABN,AB57_1486(icmF)
K11891,ABB,ABBFA_002232
K11891,ABX,ABK1_1749 ABK1_1751
K11891,ABZ,ABZJ_01461
K11891,ABR,ABTJ_02407
K11891,ABD,ABTW07_1475(icmF)
K11891,ABH,M3Q_1672
K11891,ABJ,BJAB07104_01466
K11891,ABAB,BJAB0715_01487
K11891,ABAJ,BJAB0868_01416
K11891,ABAZ,P795_10875
K11891,ABK,LX00_06440
K11891,ABAU,IX87_03940
K11891,ABW,BL01_13240
K11891,ACC,BDGL_000647 BDGL_000648
K11891,ACD,AOLE_12230
K11891,ACI,ACIAD2684
K11891,SFR,Sfri_2373
K11891,SBB,Sbal175_2046
K11891,SWD,Swoo_2516
K11891,PSM,PSM_B0208
K11891,PSEO,OM33_07740
K11891,MAQ,Maqu_3720
K11891,MHC,MARHY3621
K11891,MAD,HP15_3463
K11891,MSX,AU14_16050
K11891,MARI,ACP86_07860
K11891,PIN,Ping_0017
K11891,PSY,PCNPT3_08400
K11891,MVS,MVIS_2820(mts2-I) MVIS_3013(mts1-I)
K11891,SDE,Sde_1522
K11891,TTU,TERTU_1664(icmF)
K11891,SAGA,M5M_04420
K11891,CBC,CbuK_0518 CbuK_0519
K11891,MMT,Metme_3442
K11891,MAH,MEALZ_1928
K11891,FPZ,LA55_936 LA55_937
K11891,FNA,OOM_1458 OOM_1464
K11891,FNL,M973_05030 M973_05060
K11891,FRF,LO80_01620 LO80_01625
K11891,PSAL,PSLF89_1836 PSLF89_3116
K11891,TIG,THII_1009
K11891,TVI,Thivi_2302
K11891,AEH,Mlg_0057
K11891,HHA,Hhal_0163
K11891,HHC,M911_00025
K11891,HCH,HCH_04298
K11891,CSA,Csal_2260 Csal_2262
K11891,HEL,HELO_2910(pmt1)
K11891,HAM,HALO0935
K11891,ADI,B5T_02185
K11891,KKO,Kkor_2499
K11891,MMW,Mmwyl1_1209
K11891,MME,Marme_0785 Marme_3674
K11891,MPC,Mar181_0667 Mar181_2480
K11891,TOL,TOL_0370
K11891,TOR,R615_01700
K11891,OAI,OLEAN_C26080
K11891,GSN,YC6258_01776 YC6258_05486
K11891,AHA,AHA_1845
K11891,AHJ,V469_13105
K11891,AHI,VU14_13000
K11891,TAU,Tola_0206
K11891,GAP,GAPWK_1940
K11891,FPP,FPB0191_01755 FPB0191_01938
K11891,GPB,HDN1F_12110
K11891,SALV,SALWKB2_0112 SALWKB2_0916
K11891,CVI,CV_3980
K11891,PSE,NH8B_1116(icmF)
K11891,RSL,RPSI07_mp0687
K11891,RSN,RSPO_m01088(icmF)
K11891,RSM,CMR15_mp10731
K11891,RSE,F504_4455
K11891,RPF,Rpic12D_1673
K11891,REU,Reut_A0018 Reut_A1715 Reut_B5271
K11891,REH,H16_A0663(h16_A0663) H16_B2416(icmF)
K11891,RME,Rmet_0633
K11891,CTI,RALTA_A0621(sciS) RALTA_B1029
K11891,CBW,RR42_m0737 RR42_s0265 RR42_s2557 RR42_s2882
K11891,CGD,CR3_1510(impL)
K11891,BMA,BMA2826 BMAA0399 BMAA0454 BMAA0729.1
K11891,BMV,BMASAVP1_0619 BMASAVP1_0730 BMASAVP1_0928 BMASAVP1_1593 BMASAVP1_A0050
K11891,BML,BMA10229_0730 BMA10229_1026 BMA10229_1215 BMA10229_1778 BMA10229_A1717
K11891,BMN,BMA10247_3151 BMA10247_A0448 BMA10247_A1688 BMA10247_A2000
K11891,BMAL,DM55_3349 DM55_3871 DM55_4038 DM55_4713 DM55_865
K11891,BMAE,DM78_188 DM78_3346 DM78_3634 DM78_4284 DM78_4790
K11891,BMAQ,DM76_3665 DM76_4047 DM76_4568 DM76_4735 DM76_843
K11891,BMAI,DM57_11945 DM57_13235 DM57_13515 DM57_1581
K11891,BMAF,DM51_2444 DM51_3604 DM51_4120 DM51_4178 DM51_4429
K11891,BMAZ,BM44_211 BM44_3309 BM44_3830 BM44_3998 BM44_4704
K11891,BMAB,BM45_3076 BM45_3154 BM45_4147 BM45_4607 BM45_4775
K11891,BPS,BPSL3097 BPSS0103 BPSS0167 BPSS0532 BPSS1511 BPSS2104
K11891,BPM,BURPS1710b_3632 BURPS1710b_A0549 BURPS1710b_A1204 BURPS1710b_A1610(sciS) BURPS1710b_A1689(sciS) BURPS1710b_A2090(icmF3)
K11891,BPL,BURPS1106A_3650 BURPS1106A_A0140 BURPS1106A_A0236 BURPS1106A_A0717 BURPS1106A_A2040 BURPS1106A_A2840
K11891,BPD,BURPS668_3625 BURPS668_A0163 BURPS668_A0327 BURPS668_A0805 BURPS668_A2138 BURPS668_A2965
K11891,BPR,GBP346_A3800(icmF_1)
K11891,BPSE,BDL_2313 BDL_3759 BDL_4823 BDL_5566 BDL_5939 BDL_6058
K11891,BPSM,BBQ_195 BBQ_3637 BBQ_4011 BBQ_4633 BBQ_5664 BBQ_6047
K11891,BPSU,BBN_321 BBN_3547 BBN_3932 BBN_4960 BBN_5586 BBN_5961
K11891,BPSD,BBX_3985 BBX_4733 BBX_5107 BBX_5228 BBX_5596 BBX_707
K11891,BPZ,BP1026B_I0197(tssM-1) BP1026B_II0111(tssM-2) BP1026B_II0188(tssM-3) BP1026B_II0589(tssM-4) BP1026B_II1604(tssM-5) BP1026B_II2265(tssM-6)
K11891,BPQ,BPC006_I3705 BPC006_II0136 BPC006_II0225 BPC006_II0760 BPC006_II2023 BPC006_II2803
K11891,BPK,BBK_1810 BBK_4126 BBK_4870 BBK_5239 BBK_5359 BBK_5738
K11891,BPSH,DR55_1406 DR55_3762 DR55_4820 DR55_5195 DR55_5263 DR55_5628
K11891,BPSA,BBU_2449 BBU_3523 BBU_3893 BBU_5515 BBU_5966
K11891,BPSO,X996_1028 X996_3547 X996_4570 X996_4963 X996_5032 X996_5408
K11891,BTE,BTH_I2954 BTH_II0127 BTH_II0254 BTH_II0855 BTH_II1885
K11891,BTQ,BTQ_2891 BTQ_3418 BTQ_3549 BTQ_4142 BTQ_5167
K11891,BTJ,BTJ_2806 BTJ_3797 BTJ_4455 BTJ_4586 BTJ_5174
K11891,BTZ,BTL_3645 BTL_4653 BTL_5237 BTL_5373 BTL_712
K11891,BTD,BTI_3997 BTI_4633 BTI_4912 BTI_501 BTI_5361
K11891,BTV,BTHA_4243 BTHA_4827 BTHA_4962 BTHA_5576 BTHA_824
K11891,BTHE,BTN_4292 BTN_4913 BTN_5044 BTN_5628 BTN_655
K11891,BTHM,BTRA_3636(icmF1) BTRA_4557 BTRA_5181 BTRA_5312 BTRA_943
K11891,BTHA,DR62_3394 DR62_4341 DR62_5039 DR62_5173 DR62_824
K11891,BTHL,BG87_3598 BG87_4624 BG87_5248 BG87_5379 BG87_930
K11891,BOK,DM82_2776 DM82_3760 DM82_4634 DM82_4975 DM82_5825
K11891,BOC,BG90_1934 BG90_4283 BG90_4806 BG90_5620 BG90_5957
K11891,BUT,X994_3042 X994_4087 X994_4512 X994_4579 X994_4955 X994_5604
K11891,BVI,Bcep1808_0471 Bcep1808_4441 Bcep1808_5139
K11891,BVE,AK36_342 AK36_3754
K11891,BUR,Bcep18194_A3575 Bcep18194_B0992 Bcep18194_B1592 Bcep18194_B1823
K11891,BCN,Bcen_2620
K11891,BCH,Bcen2424_0485
K11891,BCM,Bcenmc03_0459
K11891,BCJ,BCAL0351
K11891,BCEN,DM39_295 DM39_5022 DM39_5897 DM39_6851
K11891,BCEW,DM40_1197 DM40_4763
K11891,BCEO,I35_0342 I35_4164(vasK) I35_5784 I35_5785
K11891,BAM,Bamb_0393 Bamb_3485
K11891,BAC,BamMC406_0420 BamMC406_3022 BamMC406_3655 BamMC406_6679
K11891,BMU,Bmul_2907 Bmul_3182 Bmul_3922
K11891,BMK,DM80_1186 DM80_4562
K11891,BMUL,NP80_3373 NP80_4680 NP80_523
K11891,BCT,GEM_3034 GEM_4214
K11891,BCED,DM42_1356
K11891,BDL,AK34_2655 AK34_3163 AK34_3977
K11891,BPYR,ABD05_08020 ABD05_17790 ABD05_27005
K11891,BCON,NL30_04730 NL30_20185
K11891,BXE,Bxe_A2085
K11891,BXB,DR64_4240
K11891,BPH,Bphy_5996 Bphy_6108
K11891,BPY,Bphyt_0934 Bphyt_4923
